Year,Number of Papers,Label
2015,0,Workshop
2016,0,Workshop
2017,0,Workshop
2018,23,Workshop
2019,58,Workshop
2020,29,Workshop
2021,23,Workshop
2022,19,Workshop
2015,6,Main Track
2016,4,Main Track
2017,9,Main Track
2018,16,Main Track
2019,20,Main Track
2020,43,Main Track
2021,53,Main Track
2022,61,Main Track
2015,6,Total
2016,4,Total
2017,9,Total
2018,39,Total
2019,78,Total
2020,72,Total
2021,76,Total
2022,80,Total
