Year,Number of Papers,Label
2015,0,Workshop
2016,19,Workshop
2017,14,Workshop
2018,72,Workshop
2019,75,Workshop
2020,138,Workshop
2021,113,Workshop
2022,76,Workshop
2015,1,Main Track
2016,2,Main Track
2017,2,Main Track
2018,7,Main Track
2019,13,Main Track
2020,12,Main Track
2021,15,Main Track
2022,27,Main Track
2015,1,Total
2016,21,Total
2017,16,Total
2018,79,Total
2019,88,Total
2020,150,Total
2021,128,Total
2022,103,Total
