Year,Number of Papers,Label
2015,0,Workshop
2016,0,Workshop
2017,24,Workshop
2018,109,Workshop
2019,78,Workshop
2020,113,Workshop
2021,118,Workshop
2022,310,Workshop
2015,2,Main Track
2016,4,Main Track
2017,10,Main Track
2018,16,Main Track
2019,36,Main Track
2020,36,Main Track
2021,50,Main Track
2022,71,Main Track
2015,2,Total
2016,4,Total
2017,34,Total
2018,125,Total
2019,114,Total
2020,149,Total
2021,168,Total
2022,381,Total
