Year,"Share of Filled New CS, CE, and Information Faculty Positions"
2011,0.8266494178525227
2012,0.8306364617044228
2013,0.836104513064133
2014,0.8872437357630979
2015,0.8318385650224215
2016,0.8434442270058709
2017,0.9337175792507204
2018,0.884180790960452
2019,0.8691049085659288
2020,0.846723044397463
2021,0.8927738927738927
