Year,Number of Industrial Robots Installed (in Thousands),Label
2016,207,Rest of the World
2017,243,Rest of the World
2018,268,Rest of the World
2019,243,Rest of the World
2020,216,Rest of the World
2021,249,Rest of the World
2016,97,China
2017,156,China
2018,155,China
2019,148,China
2020,178,China
2021,268,China
