Number of Industrial Robots Installed (in Thousands),Sector,Label
5.0,Unspecified,2019
2.5,Plastic and Chemical Products,2019
3.8,Metal and Machinery,2019
2.2,Food,2019
3.5,Electrical/Electronics,2019
13.0,Automotive,2019
3.5,All Others,2019
6.3,Unspecified,2020
2.6,Plastic and Chemical Products,2020
2.3,Metal and Machinery,2020
2.7,Food,2020
3.7,Electrical/Electronics,2020
10.5,Automotive,2020
2.6,All Others,2020
7.1,Unspecified,2021
3.5,Plastic and Chemical Products,2021
3.8,Metal and Machinery,2021
3.4,Food,2021
2.9,Electrical/Electronics,2021
9.8,Automotive,2021
4.5,All Others,2021
