Number of Industrial Robots Installed (in Thousands),Sector,Label
31,Unspecified,2019
4,Rubber and Plastics,2019
1,Pharma/Cosmetics,2019
22,Metal and Machinery,2019
3,Food,2019
42,Electrical/Electronics,2019
32,Automotive,2019
12,All Others,2019
30,Unspecified,2020
5,Rubber and Plastics,2020
1,Pharma/Cosmetics,2020
22,Metal and Machinery,2020
3,Food,2020
64,Electrical/Electronics,2020
31,Automotive,2020
21,All Others,2020
43,Unspecified,2021
6,Rubber and Plastics,2021
1,Pharma/Cosmetics,2021
34,Metal and Machinery,2021
4,Food,2021
88,Electrical/Electronics,2021
62,Automotive,2021
29,All Others,2021
