Total Investment (in Billions of U.S. Dollars),Country
0.614086911,Finland
0.724254949,Japan
1.035857036,Switzerland
1.130001677,Singapore
1.353139758,Australia
1.524487501,Argentina
1.769027471,France
1.831620301,Canada
2.353230125,Germany
3.098283134,South Korea
3.2391729,India
3.244646695,Israel
4.365713718,United Kingdom
13.405742405,China
47.357852483,United States
