Number of AI-Related Legal Cases 2022,U.S. State and District
23,California
17,Illinois
11,New York
7,Delaware
7,Florida
5,Washington
4,Kansas
4,Massachusetts
4,Maryland
3,District of Columbia
3,Texas
3,Ohio
3,Pennsylvania
2,Virginia
2,Missouri
