Number of AI-Related Bills,Country
9,United States
5,Spain
4,Philippines
2,Andorra
2,Belgium
2,Italy
2,Portugal
2,Russia
2,United Kingdom
1,Austria
1,Croatia
1,Germany
1,Kyrgyz Republic
1,Latvia
1,Liechtenstein
1,Slovenia
