Number of AI-Related Legal Cases 2000-22 (Sum),U.S. State and District
127,California
66,New York
36,Illinois
26,Texas
19,Delaware
19,Massachusetts
18,Washington
16,Pennsylvania
12,Michigan
12,Virginia
12,District of Columbia
12,Florida
10,Ohio
9,Kansas
8,Minnesota
