Number of AI-Related Legal Cases 2022,U.S. State
48,"Financial Services, Professional Services"
18,"Media, Culture, Graphical"
14,Public Service
6,Education
6,Health Services
4,"Hotels, Catering, Tourism"
4,Postal and Telecommunications Services
3,"Transport (Including Civil Aviation,<br>Railways, Road Transport)"
2,"Food, Drink, Tobacco"
2,Transport Equipment Manufacturing
1,Basic Metal Production
1,Mechanical and Electrical Engineering
1,"Oil and Gas Production, Oil Refining"
