Number of Mentions,Committee Report
45,Appropriations
27,"Science, Space, and Technology"
14,Rules
9,Armed Services
8,Energy and Commerce
8,Oversight and Accountability
6,Financial Services
6,Intelligence (Permanent Select)
4,Education and the Workforce
4,Transportation and Infrastructure
3,Homeland Security
3,Veterans’ Affairs
2,Budget
2,Foreign Affairs
2,Judiciary
2,Natural Resources
2,Small Business
2,Ways and Means
1,Agriculture
1,House Administration
