Date,FLOP/s (Log Scale)
1/1/09,28000000000
1/6/09,1.2E+12
1/8/09,25600000000
1/8/09,35200000000
1/8/09,35200000000
1/8/09,96000000000
1/8/09,5.962E+11
1/8/09,32000000000
1/9/09,72000000000
1/9/09,72000000000
1/9/09,4.32E+11
1/9/09,8.8E+11
1/9/09,1.088E+11
1/9/09,8.8E+11
1/9/09,3.2E+11
1/9/09,4.32E+11
1/9/09,8E+11
1/9/09,8E+11
1/9/09,80000000000
1/15/09,6.739E+11
1/15/09,7.085E+11
1/16/09,4.7E+11
1/20/09,22400000000
1/20/09,89600000000
2/25/09,47520000000
3/3/09,1.92E+11
3/3/09,1.28E+11
3/3/09,3.745E+11
3/3/09,8.32E+11
3/3/09,7.04E+11
3/3/09,3.08E+11
3/4/09,3.871E+11
3/10/09,20800000000
3/10/09,4.7E+11
3/10/09,2.08E+11
3/10/09,1.175E+11
3/10/09,1.2E+11
3/27/09,5.12E+11
3/30/09,35200000000
3/30/09,1.76E+11
3/30/09,4.623E+11
4/2/09,1.36E+12
4/9/09,6.221E+11
4/9/09,72000000000
4/9/09,6.221E+11
4/27/09,2.4E+11
4/28/09,9.6E+11
5/7/09,41520000000
5/7/09,20800000000
5/26/09,43200000000
5/27/09,2.784E+11
5/28/09,8E+11
6/1/09,3.84E+11
6/1/09,3.84E+11
6/8/09,9.6E+11
6/15/09,2.64E+11
6/15/09,80000000000
6/15/09,1.162E+11
6/15/09,1.056E+11
6/15/09,80000000000
6/15/09,1.62E+11
6/15/09,2.4E+11
6/15/09,48000000000
6/15/09,80000000000
7/1/09,3.629E+11
7/16/09,34240000000
7/17/09,4.8E+11
8/1/09,40000000000
8/4/09,8.32E+11
8/24/09,44860000000
8/28/09,8.048E+11
9/1/09,25600000000
9/4/09,35200000000
9/9/09,9.344E+11
9/9/09,8.96E+11
9/10/09,40000000000
9/16/09,4.352E+11
9/23/09,2.72E+12
9/24/09,1.426E+11
9/30/09,2.088E+12
10/12/09,1.277E+11
10/12/09,1.56E+11
10/12/09,39360000000
10/12/09,35200000000
10/12/09,39360000000
10/12/09,97150000000
10/13/09,1.008E+12
10/13/09,1.36E+12
10/28/09,4.8E+11
11/1/09,30400000000
11/1/09,32000000000
11/17/09,2.573E+11
11/18/09,2.32E+12
11/22/09,1.91E+11
11/26/09,44860000000
11/27/09,44860000000
12/1/09,44000000000
12/1/09,2.88E+11
12/2/09,96000000000
12/8/09,4.147E+11
12/14/09,39360000000
1/1/10,88000000000
1/3/10,7.36E+11
1/7/10,8E+11
1/7/10,1.005E+12
1/7/10,2.4E+11
1/7/10,8E+11
1/7/10,5.2E+11
1/7/10,2.757E+11
1/7/10,39360000000
1/7/10,46980000000
1/7/10,1.162E+11
1/7/10,1.555E+11
1/7/10,4.4E+11
1/7/10,5.2E+11
1/7/10,1.12E+12
1/7/10,3.6E+11
1/7/10,1.2E+11
1/7/10,1.08E+11
1/7/10,1.04E+11
1/7/10,80000000000
1/7/10,3.84E+11
1/7/10,46980000000
1/7/10,1.152E+11
1/7/10,1.162E+11
1/10/10,1.214E+11
1/10/10,36800000000
1/10/10,1.023E+11
1/10/10,48960000000
1/10/10,48960000000
1/10/10,95040000000
1/14/10,6.2E+11
1/15/10,96000000000
1/26/10,1.44E+11
2/1/10,3.84E+11
2/2/10,1.875E+11
2/2/10,2.4E+11
2/2/10,2.4E+11
2/2/10,2.573E+11
2/2/10,2.573E+11
2/4/10,1.04E+11
2/4/10,1.04E+11
2/4/10,1.04E+11
2/9/10,3.52E+11
2/9/10,3.52E+11
2/9/10,5.2E+11
2/9/10,5E+11
2/11/10,3.84E+11
2/16/10,6.221E+11
2/25/10,1.792E+12
3/1/10,44800000000
3/1/10,5.2E+11
3/1/10,40000000000
3/3/10,52800000000
3/11/10,2.72E+12
3/26/10,1.08864E+12
3/26/10,1.34496E+12
3/31/10,1.056E+11
4/1/10,80000000000
4/1/10,91200000000
4/1/10,91200000000
4/7/10,2.64E+12
4/22/10,5.2E+11
4/26/10,1.056E+11
4/26/10,5.2E+11
4/26/10,2.016E+12
4/26/10,1.104E+12
4/26/10,6.2E+11
4/26/10,1.104E+12
5/1/10,44800000000
5/1/10,1.12E+12
5/1/10,30400000000
5/1/10,47200000000
5/1/10,80000000000
5/4/10,25600000000
5/5/10,88000000000
5/5/10,4.32E+11
5/5/10,3.52E+11
5/5/10,2.88E+11
5/5/10,1.152E+11
5/5/10,80000000000
5/19/10,89600000000
5/25/10,5.984E+11
5/31/10,8.5536E+11
5/31/10,6.144E+11
6/1/10,2.016E+12
6/19/10,2.4E+11
6/23/10,2.64E+12
6/30/10,2.72E+12
7/4/10,1.36E+12
7/5/10,63680000000
7/12/10,19680000000
7/12/10,9.072E+11
7/12/10,9.072E+11
7/18/10,9.6E+11
7/27/10,5.184E+11
9/3/10,52800000000
9/3/10,1.056E+11
9/3/10,1.306E+11
9/3/10,6.163E+11
9/3/10,5.184E+11
9/3/10,96000000000
9/3/10,3.398E+11
9/3/10,44860000000
9/3/10,1.344E+11
9/3/10,2.15E+11
9/3/10,3.283E+11
9/3/10,2.496E+11
9/3/10,1.92E+11
9/9/10,2.72E+12
9/9/10,2.72E+12
9/13/10,6.013E+11
9/13/10,4.51E+11
10/11/10,4.666E+11
10/11/10,8.736E+11
10/11/10,2.688E+11
10/11/10,2.688E+11
10/11/10,2.688E+11
10/13/10,1.36E+12
10/19/10,2.4E+11
10/21/10,1.488E+12
10/21/10,2.016E+12
11/2/10,4.864E+11
11/9/10,1.581E+12
11/9/10,78080000000
11/9/10,44160000000
11/9/10,80000000000
11/15/10,7.488E+11
11/15/10,7.488E+11
11/26/10,4.8E+11
11/26/10,80000000000
11/26/10,5.2E+11
11/26/10,1.2E+11
11/26/10,4.8E+11
11/26/10,3.6E+11
11/26/10,80000000000
12/7/10,1.405E+12
12/7/10,1.405E+12
12/10/10,1.028E+12
12/13/10,2.458E+11
12/14/10,2.703E+12
12/15/10,2.253E+12
12/15/10,2.253E+12
12/24/10,4.8E+11
1/4/11,1.114E+12
1/4/11,5.76E+11
1/4/11,1.08E+12
