"% of Respondents that ""Agree"" or ""Weekly Agree""",AGI and major risks according to the NLP community
0.72,There's too much focus on scale
0.88,There's too much focus on benchmarks
0.37,On the wrong track: model architectures
0.41,On the wrong track: language generation
0.5,On the wrong track: explainable models
0.42,On the wrong track: black-box interpretability
0.82,We should do more to incorporate interdisciplinary insights
